"Time","mYWW","mYHW","mYRW","mYHH","mYHR","mYRR","myWW","myHW","myRW","myHH","myHR","myRR","fXWW","fXHW","fXRW","fXHH","fXHR","fXRR"
188,0,0,0,0,0,0,0,0,0,0,0,0,2091,0,0,0,0,0
189,0,0,0,0,0,0,0,0,0,0,0,0,2089,0,0,0,0,0
190,0,0,0,0,0,0,0,0,0,0,0,0,2141,0,0,0,0,0
191,0,0,0,0,0,0,0,0,0,0,0,0,2134,0,0,0,0,0
192,0,0,0,0,0,0,0,0,0,0,0,0,2163,0,0,0,0,0
193,0,0,0,0,0,0,0,0,0,0,0,0,2176,0,0,0,0,0
194,0,0,0,0,0,0,0,0,0,0,0,0,2196,0,0,0,0,0
195,0,0,0,0,0,0,0,0,0,0,0,0,2191,0,0,0,0,0
196,0,0,0,0,0,0,0,0,0,0,0,0,2170,0,0,0,0,0
197,0,0,0,0,0,0,0,0,0,0,0,0,2191,0,0,0,0,0
198,0,0,0,0,0,0,0,0,0,0,0,0,2218,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,2220,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0,2200,0,0,0,0,0
201,0,0,0,0,0,0,0,0,0,0,0,0,2201,0,0,0,0,0
202,0,0,0,0,0,0,0,0,0,0,0,0,2198,0,0,0,0,0
203,0,0,0,0,0,0,0,0,0,0,0,0,2165,0,0,0,0,0
204,0,0,0,0,0,0,0,0,0,0,0,0,2160,0,0,0,0,0
205,0,0,0,0,0,0,0,0,0,0,0,0,2150,0,0,0,0,0
206,0,0,0,0,0,0,0,0,0,0,0,0,2120,0,0,0,0,0
207,0,0,0,0,0,0,0,0,0,0,0,0,2100,0,0,0,0,0
208,0,0,0,0,0,0,0,0,0,0,0,0,2052,0,0,0,0,0
209,0,0,0,0,0,0,0,0,0,0,0,0,2018,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0,0,0,1995,0,0,0,0,0
211,0,0,0,0,0,0,0,0,0,0,0,0,1999,0,0,0,0,0
212,0,0,0,0,0,0,0,0,0,0,0,0,1994,0,0,0,0,0
213,0,0,0,0,0,0,0,0,0,0,0,0,1996,0,0,0,0,0
214,0,0,0,0,0,0,0,0,0,0,0,0,1990,0,0,0,0,0
215,0,0,0,0,0,0,0,0,0,0,0,0,1969,0,0,0,0,0
216,0,0,0,0,0,0,0,0,0,0,0,0,1966,0,0,0,0,0
217,0,0,0,0,0,0,0,0,0,0,0,0,1971,0,0,0,0,0
218,0,0,0,0,0,0,0,0,0,0,0,0,1968,0,0,0,0,0
219,0,0,0,0,0,0,0,0,0,0,0,0,1970,0,0,0,0,0
