strategy,rel_pct,metric,n,mean,sd,se,tval,lo,hi
YLE,2,Maximum total population,100,10584.28,182.26986763166488,18.226986763166487,1.9842169515864172,10548.113703888184,10620.446296111817
YLE,2,Minimum female population,100,6.279999999999999,26.133333333333322,2.6133333333333324,1.9842169515864172,1.0945796998541644,11.465420300145833
YLE,2.1999999999999997,Maximum total population,100,10588.69,175.7615863962466,17.57615863962466,1.9842169515864172,10553.815088083486,10623.564911916515
YLE,2.1999999999999997,Minimum female population,100,0.10999999999999999,1.0039819709436022,0.10039819709436022,1.9842169515864172,-0.08921180458334374,0.30921180458334374
YLE,2.4,Maximum total population,100,10610.45,154.5627508146576,15.456275081465758,1.9842169515864172,10579.781396974973,10641.118603025028
YLE,2.4,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,2.6,Maximum total population,100,10560.48,169.4288373007704,16.94288373007704,1.9842169515864172,10526.861642894022,10594.098357105977
YLE,2.6,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,2.8000000000000003,Maximum total population,100,10585.34,143.84245169313164,14.384245169313164,1.9842169515864172,10556.798536899274,10613.881463100726
YLE,2.8000000000000003,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,3,Maximum total population,100,10605.67,173.16338142536563,17.316338142536562,1.9842169515864172,10571.310628318177,10640.029371681823
YLE,3,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,3.2,Maximum total population,100,10563.56,165.87541387828676,16.587541387828676,1.9842169515864172,10530.646719193128,10596.473280806871
YLE,3.2,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,3.4000000000000004,Maximum total population,100,10584.91,156.7606484711355,15.676064847113551,1.9842169515864172,10553.80528639619,10616.01471360381
YLE,3.4000000000000004,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,3.5999999999999996,Maximum total population,100,10587.81,146.66058492900257,14.666058492900257,1.9842169515864172,10558.709358125428,10616.91064187457
YLE,3.5999999999999996,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,3.8,Maximum total population,100,10601.25,149.3508089747563,14.935080897475629,1.9842169515864172,10571.615559309914,10630.884440690086
YLE,3.8,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,4,Maximum total population,100,10615.46,177.51183884263304,17.751183884263305,1.9842169515864172,10580.237800026116,10650.682199973882
YLE,4,Minimum female population,100,0,0,0,1.9842169515864172,0,0
